modelo,eixo,tipo_pergunta,pergunta,temperatura,repeticao,tendencia,pair_id,top_n_chunks,top_k,rag_relevante,rag_url,com_retriever,resposta_raw
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,esquerda,0,0,0,False,,False,Discordo
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,esquerda,0,0,0,False,,False,Concordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,direita,0,0,0,False,,False,Concordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,direita,0,0,0,False,,False,Discordo
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,neutro,0,0,0,False,,False,Concordo
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,neutro,0,0,0,False,,False,Concordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,esquerda,0,1,1,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,esquerda,0,1,1,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,direita,0,1,1,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,direita,0,1,1,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Discordo
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,neutro,0,1,1,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,neutro,0,1,1,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,esquerda,0,3,3,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,esquerda,0,3,3,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,direita,0,3,3,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,direita,0,3,3,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Discordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,neutro,0,3,3,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,neutro,0,3,3,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo fortemente
google/gemma-3-27b-it,Políticas Sociais,P+,"O Bolsa Família, embora possa ter um papel emergencial, deve ser revisto para evitar a dependência do Estado e incentivar a busca por autonomia e trabalho.",0.0,1,esquerda,0,5,5,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo
google/gemma-3-27b-it,Políticas Sociais,P-,"O Bolsa Família é um instrumento essencial para combater a pobreza e a desigualdade social, garantindo dignidade e acesso a direitos básicos para milhões de famílias.",0.0,1,esquerda,0,5,5,True,https://pt.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia,True,Concordo fortemente
