[2026-05-13 10:49:54,959][__main__][INFO] - Retrieval ativado: store='wiki_faiss_store', top_n=[0, 1, 3, 5], emb_model='google/embeddinggemma-300m'
[2026-05-13 10:49:54,960][__main__][INFO] - Carregadas 56 perguntas de dados/pairs.json
[2026-05-13 10:49:55,013][__main__][INFO] - Cache carregado com 252299 entradas
[2026-05-13 10:50:08,255][__main__][INFO] - ✓ [openai/gpt-oss-20b] Temp=0.0 Rep=1 → Concordo fortemente
[2026-05-13 10:50:09,274][__main__][INFO] - ✓ [openai/gpt-oss-20b] Temp=0.0 Rep=1 → Concordo fortemente
[2026-05-13 10:50:09,977][__main__][INFO] - ✓ [openai/gpt-oss-20b] Temp=0.0 Rep=1 → Concordo fortemente
[2026-05-13 10:50:10,348][__main__][INFO] - ✓ [google/gemma-3-4b-it] Temp=0.0 Rep=1 → Discordo
[2026-05-13 10:50:10,348][__main__][INFO] - ✓ [mistralai/Mixtral-8x7B-Instruct-v0.1] Temp=0.0 Rep=1 → Concordo fortemente
[2026-05-13 10:50:10,348][__main__][INFO] - ✓ [google/gemma-3-4b-it] Temp=0.0 Rep=1 → Concordo fortemente
[2026-05-13 10:50:10,568][__main__][INFO] - ✓ [openai/gpt-oss-20b] Temp=0.0 Rep=1 → Discordo fortemente
[2026-05-13 10:50:10,691][__main__][INFO] - ✓ [mistralai/Mixtral-8x7B-Instruct-v0.1] Temp=0.0 Rep=1 → Concordo
[2026-05-13 10:50:10,703][__main__][INFO] - ✓ [mistralai/Mixtral-8x7B-Instruct-v0.1] Temp=0.0 Rep=1 → Neutro
[2026-05-13 10:50:10,849][__main__][INFO] - ✓ [google/gemma-3-12b-it] Temp=0.0 Rep=1 → Concordo
[2026-05-13 10:50:10,877][__main__][INFO] - ✓ [google/gemma-3-12b-it] Temp=0.0 Rep=1 → Concordo fortemente
[2026-05-13 10:50:10,895][__main__][INFO] - ✓ [google/gemma-3-4b-it] Temp=0.0 Rep=1 → Concordo fortemente
[2026-05-13 10:50:10,927][__main__][INFO] - ✓ [sabia-3.1] Temp=0.0 Rep=1 → Concordo
[2026-05-13 10:50:10,949][__main__][INFO] - ✓ [google/gemma-3-12b-it] Temp=0.0 Rep=1 → Concordo
[2026-05-13 10:50:11,373][__main__][INFO] - ✓ [sabia-3.1] Temp=0.0 Rep=1 → Concordo fortemente
